,code_country,zone
0,29,eastern_africa
1,45,eastern_africa
2,72,eastern_africa
3,238,eastern_africa
4,114,eastern_africa
5,129,eastern_africa
6,130,eastern_africa
7,137,eastern_africa
8,144,eastern_africa
9,184,eastern_africa
10,196,eastern_africa
11,226,eastern_africa
12,215,eastern_africa
13,251,eastern_africa
14,181,eastern_africa
0,7,middle_africa
1,32,middle_africa
2,37,middle_africa
3,39,middle_africa
4,46,middle_africa
5,250,middle_africa
6,74,middle_africa
7,193,middle_africa
0,4,northern_africa
1,59,northern_africa
2,124,northern_africa
3,143,northern_africa
4,276,northern_africa
5,222,northern_africa
0,20,southern_africa
1,209,southern_africa
2,122,southern_africa
3,147,southern_africa
4,202,southern_africa
0,53,western_africa
1,233,western_africa
2,35,western_africa
3,107,western_africa
4,75,western_africa
5,81,western_africa
6,90,western_africa
7,175,western_africa
8,123,western_africa
9,133,western_africa
10,136,western_africa
11,158,western_africa
12,159,western_africa
13,195,western_africa
14,197,western_africa
15,217,western_africa
0,33,northern_america
1,231,northern_america
0,23,central_america
1,48,central_america
2,60,central_america
3,89,central_america
4,95,central_america
5,138,central_america
6,157,central_america
7,166,central_america
0,8,caribbean
1,12,caribbean
2,14,caribbean
3,49,caribbean
4,55,caribbean
5,56,caribbean
6,86,caribbean
7,93,caribbean
8,109,caribbean
9,188,caribbean
10,189,caribbean
11,191,caribbean
12,220,caribbean
0,9,south_america
1,19,south_america
2,21,south_america
3,40,south_america
4,44,south_america
5,58,south_america
6,91,south_america
7,169,south_america
8,170,south_america
9,207,south_america
10,234,south_america
11,236,south_america
0,108,central_asia
1,113,central_asia
2,208,central_asia
3,213,central_asia
4,235,central_asia
0,96,eastern_asia
1,128,eastern_asia
2,41,eastern_asia
3,214,eastern_asia
4,116,eastern_asia
5,110,eastern_asia
6,141,eastern_asia
7,117,eastern_asia
0,2,southern_asia
1,16,southern_asia
2,100,southern_asia
3,102,southern_asia
4,132,southern_asia
5,149,southern_asia
6,165,southern_asia
7,38,southern_asia
0,115,south_eastern_asia
1,101,south_eastern_asia
2,120,south_eastern_asia
3,131,south_eastern_asia
4,28,south_eastern_asia
5,171,south_eastern_asia
6,216,south_eastern_asia
7,176,south_eastern_asia
8,237,south_eastern_asia
0,1,western_asia
1,52,western_asia
2,50,western_asia
3,73,western_asia
4,103,western_asia
5,105,western_asia
6,112,western_asia
7,118,western_asia
8,121,western_asia
9,221,western_asia
10,194,western_asia
11,212,western_asia
12,223,western_asia
13,225,western_asia
14,249,western_asia
0,57,eastern_europe
1,27,eastern_europe
2,167,eastern_europe
3,97,eastern_europe
4,173,eastern_europe
5,146,eastern_europe
6,183,eastern_europe
7,185,eastern_europe
8,199,eastern_europe
9,230,eastern_europe
0,54,northern_europe
1,63,northern_europe
2,67,northern_europe
3,99,northern_europe
4,104,northern_europe
5,119,northern_europe
6,126,northern_europe
7,162,northern_europe
8,210,northern_europe
9,229,northern_europe
0,3,southern_europe
1,80,southern_europe
2,98,southern_europe
3,84,southern_europe
4,106,southern_europe
5,134,southern_europe
6,273,southern_europe
7,154,southern_europe
8,174,southern_europe
9,272,southern_europe
10,198,southern_europe
11,203,southern_europe
0,11,western_europe
1,255,western_europe
2,68,western_europe
3,79,western_europe
4,256,western_europe
5,150,western_europe
6,211,western_europe
0,10,australia_new_zealand
1,156,australia_new_zealand
0,66,melanesia
1,153,melanesia
2,168,melanesia
3,25,melanesia
4,155,melanesia
0,83,micronesia
0,70,polynesia
1,244,polynesia
